timestamp,experiment,iteration,audio_duration_s,arrival_time_s,asr_start_time_s,asr_finish_time_s,queue_wait_ms,service_time_ms,e2e_latency_ms,rtf,queue_depth_at_arrival,queue_depth_at_start,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb,success,error
2026-09-11T17:06:48.334,exp2_2.00x,1,17.302,0.00015286999405361712,0.0002617579884827137,7.131070211005863,0.10888799442909658,7130.80845301738,7130.917341011809,0.4121378137219616,1,0,99.98188622716239,2800.0,52.35,335.640625,True,
2026-09-11T17:06:57.041,exp2_2.00x,2,17.302,8.65105881699128,8.651082667987794,15.83798376499908,0.023850996512919664,7186.901097011287,7186.9249480078,0.4153797882910234,1,0,82.6927817139357,2800.0,52.35,335.640625,True,
2026-09-11T17:07:05.642,exp2_2.00x,3,17.302,17.302066750009544,17.302088119991822,24.43915409198962,0.021369982277974486,7137.065971997799,7137.087341980077,0.4124994782104843,1,0,83.01204854072022,2800.0,51.25,335.640625,True,
2026-09-11T17:07:14.298,exp2_2.00x,4,17.302,25.953056612983346,25.953075947007164,33.0952834149939,0.01933402381837368,7142.207467986736,7142.226802010555,0.4127966401564407,1,0,82.60042580095501,2800.0,52.35,335.640625,True,
2026-09-11T17:07:22.945,exp2_2.00x,5,17.302,34.60406140598934,34.6040904049878,41.74214044198743,0.02899899845942855,7138.05003699963,7138.079035998089,0.41255635400529594,1,0,82.80454354708046,2800.0,53.45,335.640625,True,
2026-09-11T17:07:31.575,exp2_2.00x,6,17.302,43.25506168100401,43.25508538400754,50.37284336000448,0.023703003535047174,7117.757975996938,7117.781679000473,0.41138353808790534,1,0,82.49620212775483,2800.0,53.45,335.640625,True,
2026-09-11T17:07:40.265,exp2_2.00x,7,17.302,51.90606247499818,51.906090789998416,59.06244682398392,0.028315000236034393,7156.356033985503,7156.384348985739,0.41361438180473376,1,0,82.51240349681127,2800.0,52.35,335.640625,True,
2026-09-11T17:07:48.904,exp2_2.00x,8,17.302,60.55706363898935,60.557091972004855,67.70116647001123,0.02833301550708711,7144.0744980063755,7144.102831021883,0.41290454849187236,1,0,82.76692440711362,2800.0,52.9,335.640625,True,
2026-09-11T17:07:57.521,exp2_2.00x,9,17.302,69.20806207798887,69.20808600398595,76.31870380998589,0.023925997084006667,7110.6178059999365,7110.6417319970205,0.4109708592070244,1,0,82.62197567415008,2800.0,52.35,335.640625,True,
2026-09-11T17:08:06.209,exp2_2.00x,10,17.302,77.85905932899914,77.85908495800686,85.00625840600696,0.02562900772318244,7147.173448000103,7147.199077007826,0.4130836578430299,1,0,82.30184087002513,2800.0,52.35,335.640625,True,
2026-09-11T17:08:14.858,exp2_2.00x,11,17.302,86.51006392700947,86.51008827899932,93.65556707099313,0.02435198985040188,7145.47879199381,7145.50314398366,0.4129857121716455,1,0,82.78126715356747,2800.0,52.35,335.640625,True,
2026-09-11T17:08:23.491,exp2_2.00x,12,17.302,95.16106433401,95.16109668600257,102.28828423199593,0.032351992558687925,7127.187545993365,7127.219897985924,0.4119285369317631,1,0,82.82447502047158,2800.0,53.45,335.640625,True,
2026-09-11T17:08:32.130,exp2_2.00x,13,17.302,103.81205792000401,103.81207779000397,110.92747614398832,0.019869999960064888,7115.398353984347,7115.418223984307,0.41124715951822605,1,0,82.41507248596542,2800.0,52.35,335.640625,True,
2026-09-11T17:08:40.824,exp2_2.00x,14,17.302,112.46305999701144,112.46308284898987,119.62167915600003,0.022851978428661823,7158.596307010157,7158.619158988586,0.4137438623864384,1,0,82.12360888647852,2800.0,53.45,335.640625,True,
2026-09-11T17:08:49.449,exp2_2.00x,15,17.302,121.11405817698687,121.11407551000593,128.2465712419944,0.01733301905915141,7132.495731988456,7132.513065007515,0.4122353330244166,1,0,82.78363024066202,2800.0,53.45,335.640625,True,
