experiment,elapsed_s,queue_depth,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb
exp2_0.75x,143.70417280198308,0,99.83449557110976,2800.0,47.95,334.046875
exp2_0.75x,144.20498091899208,0,99.84398319086174,2800.0,47.95,334.046875
exp2_0.75x,144.70567433399265,0,99.8644563708506,2800.0,48.5,334.046875
exp2_0.75x,145.2063088619907,0,99.87527635737912,2800.0,49.05,334.046875
exp2_0.75x,145.70691427998827,0,91.89151159534016,2800.0,49.05,333.046875
exp2_0.75x,146.2074486979982,0,0.0,2800.0,47.95,333.046875
exp2_0.75x,146.70795171099599,0,0.0,2800.0,46.3,333.046875
exp2_0.75x,147.21166658998118,0,0.0,2800.0,47.4,333.046875
exp2_0.75x,147.7121699199779,0,0.0,2800.0,45.75,333.046875
exp2_0.75x,148.21270865597762,0,0.0,2800.0,46.85,333.046875
exp2_0.75x,148.713175227982,0,0.0,1500.0,44.65,333.046875
exp2_0.75x,149.2138122250035,0,1.997267526326398,1500.0,45.75,333.046875
exp2_0.75x,149.71458864898887,0,0.0,1500.0,44.65,333.046875
exp2_0.75x,150.21534788698773,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,150.715876776987,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,151.21639227800188,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,151.71683561400278,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,152.21723958000075,0,0.0,2800.0,45.75,333.046875
exp2_0.75x,152.71776258398313,0,0.0,2800.0,46.3,333.046875
exp2_0.75x,153.21822262599017,0,0.0,2800.0,46.3,333.046875
exp2_0.75x,153.718676613993,0,0.0,2800.0,46.3,333.046875
exp2_0.75x,154.21920410098392,0,0.0,2800.0,46.3,333.046875
exp2_0.75x,154.71972879298846,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,155.22017922697705,0,0.0,1500.0,43.55,333.046875
exp2_0.75x,155.72093342000153,0,0.0,1500.0,43.55,333.046875
exp2_0.75x,156.22156477998942,0,0.0,2800.0,44.1,333.046875
exp2_0.75x,156.7220881980029,0,0.0,2800.0,46.3,333.046875
exp2_0.75x,157.22259737597778,0,0.0,2800.0,44.65,333.046875
exp2_0.75x,157.7229862959939,0,0.0,2800.0,44.1,333.046875
exp2_0.75x,158.22340536498814,0,1.998205631293581,2800.0,44.65,333.046875
exp2_0.75x,158.7239314710023,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,159.22434257800342,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,159.7247569829924,0,0.0,2800.0,45.2,333.046875
exp2_0.75x,160.22528559100465,0,0.0,2800.0,45.75,333.046875
exp2_0.75x,160.72580212698085,0,1.9981334516378462,2800.0,44.65,333.046875
exp2_0.75x,161.22620118199848,0,0.0,1500.0,44.1,333.046875
exp2_0.75x,161.72697503198287,0,45.9302814137491,2800.0,46.85,343.65625
exp2_0.75x,162.22763084599865,0,99.86291418680432,2800.0,48.5,334.15625
exp2_0.75x,162.7283251619956,0,99.86151783410628,2800.0,47.4,334.15625
exp2_0.75x,163.22900599599234,0,99.86756442837302,2800.0,48.5,334.15625
exp2_0.75x,163.72968364600092,0,99.85566742048988,2800.0,47.4,334.15625
exp2_0.75x,164.23048312898027,0,99.82666756288609,2800.0,48.5,334.15625
